City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
269,Narsaq,GL,2022-04-16 23:48:37,60.9167,-46.05,35.82,87,6,3.38
270,Nikolskoye,RU,2022-04-16 23:47:08,59.7035,30.7861,34.81,81,81,3.18
271,Hvolsvollur,IS,2022-04-16 23:55:44,63.7533,-20.2243,46.45,95,100,8.86
272,Bobo Dioulasso,BF,2022-04-16 23:55:44,11.1771,-4.2979,74.98,68,100,1.79
273,Mangaluru,IN,2022-04-16 23:53:59,12.8667,74.8833,76.06,88,20,3.44
274,Ahipara,NZ,2022-04-16 23:55:45,-35.1667,173.1667,68.4,69,100,15.48
275,Juneau,US,2022-04-16 23:51:04,58.3019,-134.4197,44.83,60,100,10.36
276,At-Bashi,KG,2022-04-16 23:56:45,41.1702,75.8106,42.66,50,14,4.14
277,Ripoll,ES,2022-04-16 23:56:45,42.2006,2.1903,57.58,44,46,4.0
278,Mareeba,AU,2022-04-16 23:56:46,-17.0,145.4333,78.48,73,99,5.64
279,Nabire,ID,2022-04-16 23:55:06,-3.3667,135.4833,82.42,79,91,1.5
280,Phan Thiet,VN,2022-04-16 23:51:54,10.9333,108.1,79.47,80,10,6.96
281,Caninde,BR,2022-04-16 23:56:46,-4.3589,-39.3117,73.06,96,85,0.89
282,Kishi,NG,2022-04-16 23:56:47,9.0833,3.85,78.39,67,71,5.79
283,Marienburg,PL,2022-04-16 23:56:47,54.0359,19.0266,35.89,91,75,6.44
284,Kabul,AF,2022-04-16 23:56:47,34.5,69.4167,60.37,25,97,0.89
285,Saurimo,AO,2022-04-16 23:56:47,-9.6608,20.3916,64.42,98,78,3.62
286,Auki,SB,2022-04-16 23:53:51,-8.7676,160.7034,85.51,65,85,1.95
287,Providencia,MX,2022-04-16 23:56:48,28.7167,-111.5833,92.21,27,100,10.27
288,Camacha,PT,2022-04-16 23:56:48,33.0833,-16.3333,60.22,82,20,5.75
289,Najran,SA,2022-04-16 23:56:49,17.4924,44.1277,81.25,30,91,4.14
290,Rawlins,US,2022-04-16 23:56:49,41.7911,-107.2387,50.36,41,100,22.19
